C	V	Word	Previous	Next	Lemma	ESN	Role	Morphology
1	1	Ἰάκωβος		,	Ἰάκωβος	G23850	N	,,,,NMS,
1	1	Θεοῦ			θεός	G23160	N	,,,,GMS,
1	1	καὶ			καί	G25320	CC	,,,,,,,
1	1	Κυρίου			κύριος	G29620	N	,,,,GMS,
1	1	Ἰησοῦ			Ἰησοῦς	G24240	N	,,,,GMS,
1	1	Χριστοῦ		,	χριστός	G55470	N	,,,,GMS,
1	1	δοῦλος		;	δοῦλος	G14010	N	,,,,NMS,
1	1	ταῖς			ὁ	G35880	EA	,,,DFP,
1	1	δώδεκα			δώδεκα	G14270	EN	,,,DFPI
1	1	φυλαῖς			φυλή	G54430	N	,,,,DFP,
1	1	ταῖς			ὁ	G35880	RR	,,,DFP,
1	1	ἐν			ἐν	G17220	P	,,,,D,,,
1	1	τῇ			ὁ	G35880	EA	,,,DFS,
1	1	διασπορᾷ		:	διασπορά	G12900	N	,,,,DFS,
1	1	χαίρειν		.	χαίρω	G54630	IENPA	,,,,
1	2	πᾶσαν			πᾶς	G39560	EQ	,,,AFS,
1	2	χαρὰν			χαρά	G54790	N	,,,,AFS,
1	2	ἡγήσασθε		,	ἡγέομαι	G22330	V	MAM2,,P,
1	2	ἀδελφοί			ἀδελφός	G00800	N	,,,,VMP,
1	2	μου		,	ἐγώ	G14730	RP	,,1G,S,
1	2	ὅταν			ὅταν	G37520	CS	,,,,,,,
1	2	πειρασμοῖς			πειρασμός	G39860	N	,,,,DMP,
1	2	περιπέσητε			περιπίπτω	G40450	V	SAA2,,P,
1	2	ποικίλοις		,	ποικίλος	G41640	NS	,,,DMP,
1	3	γινώσκοντες			γινώσκω	G10970	V	PPA,NMP,
1	3	ὅτι			ὅτι	G37540	CS	,,,,,,,
1	3	τὸ			ὁ	G35880	EA	,,,NNS,
1	3	δοκίμιον			δοκίμιον	G13830	N	,,,,NNS,
1	3	ὑμῶν			σύ	G47710	RP	,,2G,P,
1	3	τῆς			ὁ	G35880	EA	,,,GFS,
1	3	πίστεως			πίστις	G41020	N	,,,,GFS,
1	3	κατεργάζεται			κατεργάζομαι	G27160	V	IPM3,,S,
1	3	ὑπομονήν		.	ὑπομονή	G52810	N	,,,,AFS,
1	4	ἡ			ὁ	G35880	EA	,,,NFS,
1	4	δὲ			δέ	G11610	CC	,,,,,,,
1	4	ὑπομονὴ			ὑπομονή	G52810	N	,,,,NFS,
1	4	ἔργον			ἔργον	G20410	N	,,,,ANS,
1	4	τέλειον			τέλειος	G50460	AA	,,,ANS,
1	4	ἐχέτω		,	ἔχω	G21920	V	MPA3,,S,
1	4	ἵνα			ἵνα	G24430	CS	,,,,,,,
1	4	ἦτε			εἰμί	G15100	V	SPA2,,P,
1	4	τέλειοι			τέλειος	G50460	NS	,,,NMP,
1	4	καὶ			καί	G25320	CC	,,,,,,,
1	4	ὁλόκληροι		,	ὁλόκληρος	G36480	NS	,,,NMP,
1	4	ἐν			ἐν	G17220	P	,,,,D,,,
1	4	μηδενὶ			μηδείς	G33670	RI	,,,DNS,
1	4	λειπόμενοι		.	λείπω	G30070	V	PPM,NMP,
1	5	εἰ			εἰ	G14870	CS	,,,,,,,
1	5	δέ			δέ	G11610	CC	,,,,,,,
1	5	τις			τις	G51000	RI	,,,NMS,
1	5	ὑμῶν			σύ	G47710	RP	,,2G,P,
1	5	λείπεται			λείπω	G30070	V	IPM3,,S,
1	5	σοφίας		,	σοφία	G46780	N	,,,,GFS,
1	5	αἰτείτω			αἰτέω	G01540	V	MPA3,,S,
1	5	παρὰ			παρά	G38440	P	,,,,G,,,
1	5	τοῦ			ὁ	G35880	RD	,,,GMS,
1	5	διδόντος		,	δίδωμι	G13250	V	PPA,GMS,
1	5	Θεοῦ		,	θεός	G23160	N	,,,,GMS,
1	5	πᾶσιν			πᾶς	G39560	RI	,,,DMP,
1	5	ἁπλῶς		,	ἁπλῶς	G05740	D	,,,,,,,,
1	5	καὶ			καί	G25320	CC	,,,,,,,
1	5	μὴ			μή	G33610	D	,,,,,,,,
1	5	ὀνειδίζοντος		,	ὀνειδίζω	G36790	V	PPA,GMS,
1	5	καὶ			καί	G25320	CC	,,,,,,,
1	5	δοθήσεται			δίδωμι	G13250	V	IFP3,,S,
1	5	αὐτῷ		.	αὐτός	G08460	RP	,,3DMS,
1	6	αἰτείτω			αἰτέω	G01540	V	MPA3,,S,
1	6	δὲ			δέ	G11610	CC	,,,,,,,
1	6	ἐν			ἐν	G17220	P	,,,,D,,,
1	6	πίστει		,	πίστις	G41020	N	,,,,DFS,
1	6	μηδὲν			μηδείς	G33670	RI	,,,ANS,
1	6	διακρινόμενος		;	διακρίνω	G12520	V	PPM,NMS,
1	6	ὁ			ὁ	G35880	RD	,,,NMS,
1	6	γὰρ			γάρ	G10630	CC	,,,,,,,
1	6	διακρινόμενος			διακρίνω	G12520	V	PPM,NMS,
1	6	ἔοικεν			εἴκω	G15030	V	IEA3,,S,
1	6	κλύδωνι			κλύδων	G28300	N	,,,,DMS,
1	6	θαλάσσης		,	θάλασσα	G22810	N	,,,,GFS,
1	6	ἀνεμιζομένῳ			ἀνεμίζω	G04160	V	PPP,DMS,
1	6	καὶ			καί	G25320	CC	,,,,,,,
1	6	ῥιπιζομένῳ		.	ῥιπίζω	G44940	V	PPP,DMS,
1	7	μὴ			μή	G33610	D	,,,,,,,,
1	7	γὰρ			γάρ	G10630	CC	,,,,,,,
1	7	οἰέσθω			οἶμαι	G36330	V	MPM3,,S,
1	7	ὁ			ὁ	G35880	EA	,,,NMS,
1	7	ἄνθρωπος			ἄνθρωπος	G04440	N	,,,,NMS,
1	7	ἐκεῖνος		,	ἐκεῖνος	G15650	ED	,,,NMS,
1	7	ὅτι			ὅτι	G37540	CS	,,,,,,,
