C	V	Word	Previous	Next	Lemma	ESN	Role	Morphology
1	1	ὁ			ὁ	G35880	EA	,,,NMS,
1	1	πρεσβύτερος		;	πρεσβύτερος	G42450	NS	,,,NMSC
1	1	ἐκλεκτῇ			ἐκλεκτός	G15880	AA	,,,DFS,
1	1	κυρίᾳ			κυρία	G29590	N	,,,,DFS,
1	1	καὶ			καί	G25320	CC	,,,,,,,
1	1	τοῖς			ὁ	G35880	EA	,,,DNP,
1	1	τέκνοις			τέκνον	G50430	N	,,,,DNP,
1	1	αὐτῆς		,	αὐτός	G08460	RP	,,3GFS,
1	1	οὓς			ὅς	G37390	RR	,,,AMP,
1	1	ἐγὼ			ἐγώ	G14730	RP	,,1N,S,
1	1	ἀγαπῶ			ἀγαπάω	G00250	V	IPA1,,S,
1	1	ἐν			ἐν	G17220	P	,,,,D,,,
1	1	ἀληθείᾳ			ἀλήθεια	G02250	N	,,,,DFS,
1	1	καὶ	(		καί	G25320	CC	,,,,,,,
1	1	οὐκ			οὐ	G37560	DO	,,,,,,,
1	1	ἐγὼ			ἐγώ	G14730	RP	,,1N,S,
1	1	μόνος		,	μόνος	G34410	EF	,,,NMS,
1	1	ἀλλὰ			ἀλλά	G02350	CO	,,,,,,,
1	1	καὶ			καί	G25320	D	,,,,,,,,
1	1	πάντες			πᾶς	G39560	RI	,,,NMP,
1	1	οἱ			ὁ	G35880	RD	,,,NMP,
1	1	ἐγνωκότες			γινώσκω	G10970	V	PEA,NMP,
1	1	τὴν			ὁ	G35880	EA	,,,AFS,
1	1	ἀλήθειαν		),	ἀλήθεια	G02250	N	,,,,AFS,
1	2	διὰ			διά	G12230	P	,,,,A,,,
1	2	τὴν			ὁ	G35880	EA	,,,AFS,
1	2	ἀλήθειαν			ἀλήθεια	G02250	N	,,,,AFS,
1	2	τὴν			ὁ	G35880	RD	,,,AFS,
1	2	μένουσαν			μένω	G33060	V	PPA,AFS,
1	2	ἐν			ἐν	G17220	P	,,,,D,,,
1	2	ἡμῖν		,	ἐγώ	G14730	RP	,,1D,P,
1	2	καὶ			καί	G25320	CC	,,,,,,,
1	2	μεθ’			μετά	G33260	P	,,,,G,,,
1	2	ἡμῶν			ἐγώ	G14730	RP	,,1G,P,
1	2	ἔσται			εἰμί	G15100	V	IFM3,,S,
1	2	εἰς			εἰς	G15190	P	,,,,A,,,
1	2	τὸν			ὁ	G35880	EA	,,,AMS,
1	2	αἰῶνα		:	αἰών	G01650	N	,,,,AMS,
1	3	ἔσται			εἰμί	G15100	V	IFM3,,S,
1	3	μεθ’			μετά	G33260	P	,,,,G,,,
1	3	ἡμῶν			ἐγώ	G14730	RP	,,1G,P,
1	3	χάρις		,	χάρις	G54850	N	,,,,NFS,
1	3	ἔλεος		,	ἔλεος	G16560	N	,,,,NNS,
1	3	εἰρήνη		,	εἰρήνη	G15150	N	,,,,NFS,
1	3	παρὰ			παρά	G38440	P	,,,,G,,,
1	3	Θεοῦ			θεός	G23160	N	,,,,GMS,
1	3	Πατρός			πατήρ	G39620	N	,,,,GMS,
1	3	καὶ			καί	G25320	CC	,,,,,,,
1	3	παρὰ			παρά	G38440	P	,,,,G,,,
1	3	Ἰησοῦ			Ἰησοῦς	G24240	N	,,,,GMS,
1	3	Χριστοῦ		,	χριστός	G55470	N	,,,,GMS,
1	3	τοῦ			ὁ	G35880	EA	,,,GMS,
1	3	Υἱοῦ			υἱός	G52070	N	,,,,GMS,
1	3	τοῦ			ὁ	G35880	EA	,,,GMS,
1	3	Πατρός		,	πατήρ	G39620	N	,,,,GMS,
1	3	ἐν			ἐν	G17220	P	,,,,D,,,
1	3	ἀληθείᾳ			ἀλήθεια	G02250	N	,,,,DFS,
1	3	καὶ			καί	G25320	CC	,,,,,,,
1	3	ἀγάπῃ		.	ἀγάπη	G00260	N	,,,,DFS,
1	4	ἐχάρην			χαίρω	G54630	V	IAP1,,S,
1	4	λείαν			λείαν	G30290	D	,,,,,,,,
1	4	ὅτι			ὅτι	G37540	CS	,,,,,,,
1	4	εὕρηκα			εὑρίσκω	G21470	V	IEA1,,S,
1	4	ἐκ			ἐκ	G15370	P	,,,,G,,,
1	4	τῶν			ὁ	G35880	EA	,,,GNP,
1	4	τέκνων			τέκνον	G50430	N	,,,,GNP,
1	4	σου			σύ	G47710	RP	,,2G,S,
1	4	περιπατοῦντας			περιπατέω	G40430	V	PPA,AMP,
1	4	ἐν			ἐν	G17220	P	,,,,D,,,
1	4	ἀληθείᾳ		,	ἀλήθεια	G02250	N	,,,,DFS,
1	4	καθὼς			καθώς	G25310	D	,,,,,,,,
1	4	ἐντολὴν			ἐντολή	G17850	N	,,,,AFS,
1	4	ἐλάβομεν			λαμβάνω	G29830	V	IAA1,,P,
1	4	παρὰ			παρά	G38440	P	,,,,G,,,
1	4	τοῦ			ὁ	G35880	EA	,,,GMS,
1	4	Πατρός		.	πατήρ	G39620	N	,,,,GMS,
1	5	καὶ			καί	G25320	CC	,,,,,,,
1	5	νῦν			νῦν	G35680	D	,,,,,,,,
1	5	ἐρωτῶ			ἐρωτάω	G20650	V	IPA1,,S,
1	5	σε		,	σύ	G47710	RP	,,2A,S,
1	5	κυρία		,	κυρία	G29590	N	,,,,VFS,
1	5	οὐχ			οὐ	G37560	DO	,,,,,,,
1	5	ὡς			ὡς	G56130	CS	,,,,,,,
1	5	ἐντολὴν			ἐντολή	G17850	N	,,,,AFS,
1	5	καινὴν			καινός	G25370	AA	,,,AFS,
1	5	γράφων			γράφω	G11250	V	PPA,NMS,
1	5	σοι		,	σύ	G47710	RP	,,2D,S,
1	5	ἀλλὰ			ἀλλά	G02350	CO	,,,,,,,
1	5	ἣν			ὅς	G37390	RR	,,,AFS,
1	5	εἴχαμεν			ἔχω	G21920	V	IIA1,,P,
1	5	ἀπ’			ἀπό	G05750	P	,,,,G,,,
1	5	ἀρχῆς		,	ἀρχή	G07460	N	,,,,GFS,
1	5	ἵνα			ἵνα	G24430	CS	,,,,,,,
1	5	ἀγαπῶμεν			ἀγαπάω	G00250	V	SPA1,,P,
1	5	ἀλλήλους		.	ἀλλήλων	G02400	RC	,,,AMP,
1	6	καὶ			καί	G25320	CC	,,,,,,,
1	6	αὕτη			οὗτος	G37780	RD	,,,NFS,
1	6	ἐστὶν			εἰμί	G15100	V	IPA3,,S,
1	6	ἡ			ὁ	G35880	EA	,,,NFS,
1	6	ἀγάπη		:	ἀγάπη	G00260	N	,,,,NFS,
1	6	ἵνα			ἵνα	G24430	D	,,,,,,,,
1	6	περιπατῶμεν			περιπατέω	G40430	V	SPA1,,P,
1	6	κατὰ			κατά	G25960	P	,,,,A,,,
1	6	τὰς			ὁ	G35880	EA	,,,AFP,
1	6	ἐντολὰς			ἐντολή	G17850	N	,,,,AFP,
1	6	αὐτοῦ		.	αὐτός	G08460	RP	,,3GMS,
1	6	αὕτη			οὗτος	G37780	ED	,,,NFS,
1	6	ἡ			ὁ	G35880	EA	,,,NFS,
1	6	ἐντολή			ἐντολή	G17850	N	,,,,NFS,
1	6	ἐστιν		,	εἰμί	G15100	V	IPA3,,S,
1	6	καθὼς			καθώς	G25310	D	,,,,,,,,
1	6	ἠκούσατε			ἀκούω	G01910	V	IAA2,,P,
1	6	ἀπ’			ἀπό	G05750	P	,,,,G,,,
1	6	ἀρχῆς		,	ἀρχή	G07460	N	,,,,GFS,
1	6	ἵνα			ἵνα	G24430	D	,,,,,,,,
1	6	ἐν			ἐν	G17220	P	,,,,D,,,
1	6	αὐτῇ			αὐτός	G08460	RD	,,,DFS,
1	6	περιπατῆτε		.	περιπατέω	G40430	V	SPA2,,P,
1	7	ὅτι			ὅτι	G37540	CS	,,,,,,,
1	7	πολλοὶ			πολλός	G41830	EQ	,,,NMP,
1	7	πλάνοι			πλάνος	G41080	NS	,,,NMP,
1	7	ἐξῆλθαν			ἐξέρχομαι	G18310	V	IAA3,,P,
1	7	εἰς			εἰς	G15190	P	,,,,A,,,
1	7	τὸν			ὁ	G35880	EA	,,,AMS,
1	7	κόσμον		,	κόσμος	G28890	N	,,,,AMS,
1	7	οἱ			ὁ	G35880	RD	,,,NMP,
1	7	μὴ			μή	G33610	D	,,,,,,,,
1	7	ὁμολογοῦντες			ὁμολογέω	G36700	V	PPA,NMP,
1	7	Ἰησοῦν			Ἰησοῦς	G24240	N	,,,,AMS,
1	7	Χριστὸν			χριστός	G55470	N	,,,,AMS,
1	7	ἐρχόμενον			ἔρχομαι	G20640	V	PPM,AMS,
1	7	ἐν			ἐν	G17220	P	,,,,D,,,
1	7	σαρκί		.	σάρξ	G45610	N	,,,,DFS,
1	7	οὗτός			οὗτος	G37780	RD	,,,NMS,
1	7	ἐστιν			εἰμί	G15100	V	IPA3,,S,
1	7	ὁ			ὁ	G35880	EA	,,,NMS,
1	7	πλάνος			πλάνος	G41080	NS	,,,NMS,
1	7	καὶ			καί	G25320	CC	,,,,,,,
1	7	ὁ			ὁ	G35880	EA	,,,NMS,
1	7	ἀντίχριστος		.	ἀντίχριστος	G05000	N	,,,,NMS,
1	8	βλέπετε			βλέπω	G09910	V	MPA2,,P,
1	8	ἑαυτούς		,	ἑαυτοῦ	G14380	RE	,,2AMP,
