C	V	Word	Previous	Next	Lemma	ESN	Role	Morphology
1	1	Σίμων			Σίμων	G46130	N	,,,,NMS,
1	1	Πέτρος		,	πέτρος	G40740	N	,,,,NMS,
1	1	δοῦλος			δοῦλος	G14010	N	,,,,NMS,
1	1	καὶ			καί	G25320	CC	,,,,,,,
1	1	ἀπόστολος			ἀπόστολος	G06520	N	,,,,NMS,
1	1	Ἰησοῦ			Ἰησοῦς	G24240	N	,,,,GMS,
1	1	Χριστοῦ		;	χριστός	G55470	N	,,,,GMS,
1	1	τοῖς			ὁ	G35880	RD	,,,DMP,
1	1	ἰσότιμον			ἰσότιμος	G24720	NS	,,,AFS,
1	1	ἡμῖν			ἐγώ	G14730	RP	,,1D,P,
1	1	λαχοῦσιν			λαγχάνω	G29750	V	PAA,DMP,
1	1	πίστιν			πίστις	G41020	N	,,,,AFS,
1	1	ἐν			ἐν	G17220	P	,,,,D,,,
1	1	δικαιοσύνῃ			δικαιοσύνη	G13430	N	,,,,DFS,
1	1	τοῦ			ὁ	G35880	EA	,,,GMS,
1	1	Θεοῦ			θεός	G23160	N	,,,,GMS,
1	1	ἡμῶν			ἐγώ	G14730	RP	,,1G,P,
1	1	καὶ			καί	G25320	CC	,,,,,,,
1	1	Σωτῆρος		,	σωτήρ	G49900	N	,,,,GMS,
1	1	Ἰησοῦ			Ἰησοῦς	G24240	N	,,,,GMS,
1	1	Χριστοῦ		:	χριστός	G55470	N	,,,,GMS,
1	2	χάρις			χάρις	G54850	N	,,,,NFS,
1	2	ὑμῖν			σύ	G47710	RP	,,2D,P,
1	2	καὶ			καί	G25320	CC	,,,,,,,
1	2	εἰρήνη			εἰρήνη	G15150	N	,,,,NFS,
1	2	πληθυνθείη			πληθύνω	G41290	V	OAP3,,S,
1	2	ἐν			ἐν	G17220	P	,,,,D,,,
1	2	ἐπιγνώσει			ἐπίγνωσις	G19220	N	,,,,DFS,
1	2	τοῦ			ὁ	G35880	EA	,,,GMS,
1	2	Θεοῦ		,	θεός	G23160	N	,,,,GMS,
1	2	καὶ			καί	G25320	CC	,,,,,,,
1	2	Ἰησοῦ			Ἰησοῦς	G24240	N	,,,,GMS,
1	2	τοῦ			ὁ	G35880	EA	,,,GMS,
1	2	Κυρίου			κύριος	G29620	N	,,,,GMS,
1	2	ἡμῶν		.	ἐγώ	G14730	RP	,,1G,P,
1	3	ὡς			ὡς	G56130	CS	,,,,,,,
1	3	πάντα			πᾶς	G39560	RI	,,,ANP,
1	3	ἡμῖν			ἐγώ	G14730	RP	,,1D,P,
1	3	τῆς			ὁ	G35880	EA	,,,GFS,
