C	V	Word	Previous	Next	Lemma	ESN	Role	Morphology
1	1	Παῦλος		,	Παῦλος	G39720	N	,,,,NMS,
1	1	δέσμιος			δέσμιος	G11980	N	,,,,NMS,
1	1	Χριστοῦ			χριστός	G55470	N	,,,,GMS,
1	1	Ἰησοῦ		,	Ἰησοῦς	G24240	N	,,,,GMS,
1	1	καὶ			καί	G25320	CC	,,,,,,,
1	1	Τιμόθεος		,	Τιμόθεος	G50950	N	,,,,NMS,
1	1	ὁ			ὁ	G35880	EP	,,,NMS,
1	1	ἀδελφὸς		;	ἀδελφός	G00800	N	,,,,NMS,
1	1	Φιλήμονι		,	Φιλήμων	G53710	N	,,,,DMS,
1	1	τῷ			ὁ	G35880	EA	,,,DMS,
1	1	ἀγαπητῷ			ἀγαπητός	G00270	AR	,,,DMS,
1	1	καὶ			καί	G25320	CC	,,,,,,,
1	1	συνεργῷ			συνεργός	G49040	NS	,,,DMS,
1	1	ἡμῶν		,	ἐγώ	G14730	RP	,,1G,P,
1	2	καὶ			καί	G25320	CC	,,,,,,,
1	2	Ἀπφίᾳ		,	Ἀπφία	G06820	N	,,,,DFS,
1	2	τῇ			ὁ	G35880	EA	,,,DFS,
1	2	ἀδελφῇ		,	ἀδελφή	G00790	N	,,,,DFS,
1	2	καὶ			καί	G25320	CC	,,,,,,,
1	2	Ἀρχίππῳ		,	Ἄρχιππος	G07510	N	,,,,DMS,
1	2	τῷ			ὁ	G35880	EA	,,,DMS,
1	2	συνστρατιώτῃ			συνστρατιώτης	G49610	N	,,,,DMS,
1	2	ἡμῶν		,	ἐγώ	G14730	RP	,,1G,P,
1	2	καὶ			καί	G25320	CC	,,,,,,,
1	2	τῇ			ὁ	G35880	EA	,,,DFS,
1	2	κατ’			κατά	G25960	P	,,,,A,,,
1	2	οἶκόν			οἶκος	G36240	N	,,,,AMS,
1	2	σου			σύ	G47710	RP	,,2G,S,
1	2	ἐκκλησίᾳ		:	ἐκκλησία	G15770	N	,,,,DFS,
1	3	χάρις			χάρις	G54850	N	,,,,NFS,
1	3	ὑμῖν			σύ	G47710	RP	,,2D,P,
1	3	καὶ			καί	G25320	CC	,,,,,,,
1	3	εἰρήνη		,	εἰρήνη	G15150	N	,,,,NFS,
1	3	ἀπὸ			ἀπό	G05750	P	,,,,G,,,
1	3	Θεοῦ			θεός	G23160	N	,,,,GMS,
1	3	Πατρὸς			πατήρ	G39620	N	,,,,GMS,
1	3	ἡμῶν			ἐγώ	G14730	RP	,,1G,P,
1	3	καὶ			καί	G25320	CC	,,,,,,,
1	3	Κυρίου			κύριος	G29620	N	,,,,GMS,
1	3	ἡμῶν			ἐγώ	G14730	RP	,,1G,P,
1	3	Ἰησοῦ			Ἰησοῦς	G24240	N	,,,,GMS,
1	3	Χριστοῦ		.	χριστός	G55470	N	,,,,GMS,
1	4	εὐχαριστῶ			εὐχαριστέω	G21680	V	IPA1,,S,
1	4	τῷ			ὁ	G35880	EA	,,,DMS,
1	4	Θεῷ			θεός	G23160	N	,,,,DMS,
1	4	μου			ἐγώ	G14730	RP	,,1G,S,
1	4	πάντοτε		,	πάντοτε	G38420	D	,,,,,,,,
1	4	μνείαν			μνεία	G34170	N	,,,,AFS,
1	4	σου			σύ	G47710	RP	,,2G,S,
1	4	ποιούμενος			ποιέω	G41600	V	PPM,NMS,
1	4	ἐπὶ			ἐπί	G19090	P	,,,,G,,,
1	4	τῶν			ὁ	G35880	EA	,,,GFP,
1	4	προσευχῶν			προσευχή	G43350	N	,,,,GFP,
1	4	μου		,	ἐγώ	G14730	RP	,,1G,S,
1	5	ἀκούων			ἀκούω	G01910	V	PPA,NMS,
1	5	σου			σύ	G47710	RP	,,2G,S,
1	5	τὴν			ὁ	G35880	EA	,,,AFS,
1	5	ἀγάπην			ἀγάπη	G00260	N	,,,,AFS,
1	5	καὶ			καί	G25320	CC	,,,,,,,
1	5	τὴν			ὁ	G35880	EA	,,,AFS,
1	5	πίστιν		,	πίστις	G41020	N	,,,,AFS,
1	5	ἣν			ὅς	G37390	RD	,,,AFS,
1	5	ἔχεις			ἔχω	G21920	V	IPA2,,S,
1	5	πρὸς			πρός	G43140	P	,,,,A,,,
1	5	τὸν			ὁ	G35880	EA	,,,AMS,
1	5	Κύριον			κύριος	G29620	N	,,,,AMS,
1	5	Ἰησοῦν		,	Ἰησοῦς	G24240	N	,,,,AMS,
1	5	καὶ			καί	G25320	CC	,,,,,,,
1	5	εἰς			εἰς	G15190	P	,,,,A,,,
1	5	πάντας			πᾶς	G39560	EQ	,,,AMP,
1	5	τοὺς			ὁ	G35880	EA	,,,AMP,
1	5	ἁγίους		,	ἅγιος	G00400	NS	,,,AMP,
1	6	ὅπως			ὅπως	G37040	CS	,,,,,,,
1	6	ἡ			ὁ	G35880	EA	,,,NFS,
1	6	κοινωνία			κοινωνία	G28420	N	,,,,NFS,
1	6	τῆς			ὁ	G35880	EA	,,,GFS,
1	6	πίστεώς			πίστις	G41020	N	,,,,GFS,
1	6	σου		,	σύ	G47710	RP	,,2G,S,
1	6	ἐνεργὴς			ἐνεργής	G17560	NP	,,,NFS,
1	6	γένηται			γίνομαι	G10960	V	SAM3,,S,
1	6	ἐν			ἐν	G17220	P	,,,,D,,,
1	6	ἐπιγνώσει			ἐπίγνωσις	G19220	N	,,,,DFS,
