C	V	Word	Previous	Next	Lemma	ESN	Role	Morphology
1	1	Παῦλος		,	Παῦλος	G39720	N	,,,,NMS,
1	1	δοῦλος			δοῦλος	G14010	N	,,,,NMS,
1	1	Θεοῦ		,	θεός	G23160	N	,,,,GMS,
1	1	ἀπόστολος			ἀπόστολος	G06520	N	,,,,NMS,
1	1	δὲ			δέ	G11610	CC	,,,,,,,
1	1	Ἰησοῦ			Ἰησοῦς	G24240	N	,,,,GMS,
1	1	Χριστοῦ		,	χριστός	G55470	N	,,,,GMS,
1	1	κατὰ			κατά	G25960	P	,,,,A,,,
1	1	πίστιν			πίστις	G41020	N	,,,,AFS,
1	1	ἐκλεκτῶν			ἐκλεκτός	G15880	NS	,,,GMP,
1	1	Θεοῦ		,	θεός	G23160	N	,,,,GMS,
1	1	καὶ			καί	G25320	CC	,,,,,,,
1	1	ἐπίγνωσιν			ἐπίγνωσις	G19220	N	,,,,AFS,
1	1	ἀληθείας		,	ἀλήθεια	G02250	N	,,,,GFS,
1	1	τῆς			ὁ	G35880	EA	,,,GFS,
1	1	κατ’			κατά	G25960	P	,,,,A,,,
1	1	εὐσέβειαν			εὐσέβεια	G21500	N	,,,,AFS,
1	2	ἐπ’			ἐπί	G19090	P	,,,,D,,,
1	2	ἐλπίδι			ἐλπίς	G16800	N	,,,,DFS,
1	2	ζωῆς			ζωή	G22220	N	,,,,GFS,
1	2	αἰωνίου		,	αἰώνιος	G01660	AA	,,,GFS,
1	2	ἣν			ὅς	G37390	RR	,,,AFS,
1	2	ἐπηγγείλατο			ἐπαγγέλλω	G18610	V	IAM3,,S,
1	2	ὁ			ὁ	G35880	EA	,,,NMS,
1	2	ἀψευδὴς			ἀψευδής	G08930	AA	,,,NMS,
1	2	Θεὸς			θεός	G23160	N	,,,,NMS,
1	2	πρὸ			πρό	G42530	P	,,,,G,,,
1	2	χρόνων			χρόνος	G55500	N	,,,,GMP,
1	2	αἰωνίων		,	αἰώνιος	G01660	AA	,,,GMP,
1	3	ἐφανέρωσεν			φανερόω	G53190	V	IAA3,,S,
1	3	δὲ			δέ	G11610	CC	,,,,,,,
1	3	καιροῖς			καιρός	G25400	N	,,,,DMP,
1	3	ἰδίοις			ἴδιος	G23980	EF	,,,DMP,
1	3	τὸν			ὁ	G35880	EA	,,,AMS,
1	3	λόγον			λόγος	G30560	N	,,,,AMS,
1	3	αὐτοῦ			αὐτός	G08460	RP	,,3GMS,
1	3	ἐν			ἐν	G17220	P	,,,,D,,,
1	3	κηρύγματι		,	κήρυγμα	G27820	N	,,,,DNS,
1	3	ὃ			ὅς	G37390	RR	,,,ANS,
1	3	ἐπιστεύθην			πιστεύω	G41000	V	IAP1,,S,
1	3	ἐγὼ		,	ἐγώ	G14730	RP	,,1N,S,
1	3	κατ’			κατά	G25960	P	,,,,A,,,
1	3	ἐπιταγὴν			ἐπιταγή	G20030	N	,,,,AFS,
1	3	τοῦ			ὁ	G35880	EA	,,,GMS,
1	3	Σωτῆρος			σωτήρ	G49900	N	,,,,GMS,
1	3	ἡμῶν		,	ἐγώ	G14730	RP	,,1G,P,
1	3	Θεοῦ		;	θεός	G23160	N	,,,,GMS,
1	4	Τίτῳ		,	Τίτος	G51030	N	,,,,DMS,
1	4	γνησίῳ			γνήσιος	G11030	AA	,,,DNS,
1	4	τέκνῳ		,	τέκνον	G50430	N	,,,,DNS,
1	4	κατὰ			κατά	G25960	P	,,,,A,,,
1	4	κοινὴν			κοινός	G28390	AA	,,,AFS,
1	4	πίστιν		:	πίστις	G41020	N	,,,,AFS,
1	4	χάρις			χάρις	G54850	N	,,,,NFS,
1	4	καὶ			καί	G25320	CC	,,,,,,,
1	4	εἰρήνη			εἰρήνη	G15150	N	,,,,NFS,
1	4	ἀπὸ			ἀπό	G05750	P	,,,,G,,,
1	4	Θεοῦ			θεός	G23160	N	,,,,GMS,
1	4	Πατρὸς			πατήρ	G39620	N	,,,,GMS,
1	4	καὶ			καί	G25320	CC	,,,,,,,
1	4	Χριστοῦ			χριστός	G55470	N	,,,,GMS,
1	4	Ἰησοῦ			Ἰησοῦς	G24240	N	,,,,GMS,
1	4	τοῦ			ὁ	G35880	EA	,,,GMS,
1	4	Σωτῆρος			σωτήρ	G49900	N	,,,,GMS,
1	4	ἡμῶν		.	ἐγώ	G14730	RP	,,1G,P,
1	5	τούτου			οὗτος	G37780	RD	,,,GNS,
1	5	χάριν		,	χάριν	G54840	PI	,,,G,,,
1	5	ἀπέλιπόν			ἀπολίπω	G06200	V	IAA1,,S,
1	5	σε			σύ	G47710	RP	,,2A,S,
1	5	ἐν			ἐν	G17220	P	,,,,D,,,
1	5	Κρήτῃ		,	Κρήτη	G29140	N	,,,,DFS,
1	5	ἵνα			ἵνα	G24430	CS	,,,,,,,
1	5	τὰ			ὁ	G35880	EA	,,,ANP,
1	5	λείποντα			λείπω	G30070	V	PPA,ANP,
1	5	ἐπιδιορθώσῃ		,	ἐπιδιορθόω	G19300	V	SAM2,,S,
1	5	καὶ			καί	G25320	CC	,,,,,,,
1	5	καταστήσῃς			καθίστημι	G25250	V	SAA2,,S,
1	5	κατὰ			κατά	G25960	P	,,,,A,,,
1	5	πόλιν			πόλις	G41720	N	,,,,AFS,
1	5	πρεσβυτέρους		,	πρεσβύτερος	G42450	NS	,,,AMPC
1	5	ὡς			ὡς	G56130	CS	,,,,,,,
1	5	ἐγώ			ἐγώ	G14730	RP	,,1N,S,
1	5	σοι			σύ	G47710	RP	,,2D,S,
1	5	διεταξάμην		;	διατάσσω	G12990	V	IAM1,,S,
1	6	εἴ			εἰ	G14870	CS	,,,,,,,
1	6	τίς			τις	G51000	RI	,,,NMS,
1	6	ἐστιν			εἰμί	G15100	V	IPA3,,S,
1	6	ἀνέγκλητος		,	ἀνέγκλητος	G04100	NP	,,,NMS,
1	6	μιᾶς			εἷς	G15200	EN	,,,GFS,
1	6	γυναικὸς			γυνή	G11350	N	,,,,GFS,
1	6	ἀνήρ		,	ἀνήρ	G04350	N	,,,,NMS,
1	6	τέκνα			τέκνον	G50430	N	,,,,ANP,
1	6	ἔχων			ἔχω	G21920	V	PPA,NMS,
1	6	πιστά		,	πιστός	G41030	NS	,,,ANP,
1	6	μὴ			μή	G33610	D	,,,,,,,,
1	6	ἐν			ἐν	G17220	P	,,,,D,,,
1	6	κατηγορίᾳ			κατηγορία	G27240	N	,,,,DFS,
1	6	ἀσωτίας			ἀσωτία	G08100	N	,,,,GFS,
1	6	ἢ			ἤ	G22280	CC	,,,,,,,
1	6	ἀνυπότακτα		.	ἀνυπότακτος	G05060	NP	,,,ANP,
1	7	δεῖ			δέω	G12100	V	IPA3,,S,
1	7	γὰρ			γάρ	G10630	CC	,,,,,,,
1	7	τὸν			ὁ	G35880	EA	,,,AMS,
1	7	ἐπίσκοπον			ἐπίσκοπος	G19850	N	,,,,AMS,
1	7	ἀνέγκλητον			ἀνέγκλητος	G04100	NS	,,,AMS,
1	7	εἶναι		,	εἰμί	G15100	V	NPA,,,,,
1	7	ὡς			ὡς	G56130	CS	,,,,,,,
1	7	Θεοῦ			θεός	G23160	N	,,,,GMS,
1	7	οἰκονόμον		;	οἰκονόμος	G36230	N	,,,,AMS,
1	7	μὴ			μή	G33610	D	,,,,,,,,
1	7	αὐθάδη		,	αὐθάδης	G08290	NS	,,,AMS,
1	7	μὴ			μή	G33610	D	,,,,,,,,
1	7	ὀργίλον		,	ὀργίλος	G37110	NS	,,,AMS,
1	7	μὴ			μή	G33610	D	,,,,,,,,
1	7	πάροινον		,	πάροινος	G39430	NS	,,,AMS,
1	7	μὴ			μή	G33610	D	,,,,,,,,
1	7	πλήκτην		,	πλήκτης	G41310	N	,,,,AMS,
1	7	μὴ			μή	G33610	D	,,,,,,,,
1	7	αἰσχροκερδῆ		,	αἰσχροκερδής	G01460	NS	,,,AMS,
1	8	ἀλλὰ			ἀλλά	G02350	CC	,,,,,,,
1	8	φιλόξενον		,	φιλόξενος	G53820	NS	,,,AMS,
1	8	φιλάγαθον		,	φιλάγαθος	G53580	NS	,,,AMS,
1	8	σώφρονα		,	σώφρων	G49980	NS	,,,AMS,
1	8	δίκαιον		,	δίκαιος	G13420	NS	,,,AMS,
1	8	ὅσιον		,	ὅσιος	G37410	NS	,,,AMS,
1	8	ἐγκρατῆ		;	ἐγκρατής	G14680	NS	,,,AMS,
1	9	ἀντεχόμενον			ἀντέχω	G04720	V	PPM,AMS,
1	9	τοῦ			ὁ	G35880	EA	,,,GMS,
1	9	κατὰ			κατά	G25960	P	,,,,A,,,
1	9	τὴν			ὁ	G35880	EA	,,,AFS,
1	9	διδαχὴν			διδαχή	G13220	N	,,,,AFS,
1	9	πιστοῦ			πιστός	G41030	AA	,,,GMS,
1	9	λόγου		,	λόγος	G30560	N	,,,,GMS,
1	9	ἵνα			ἵνα	G24430	CS	,,,,,,,
1	9	δυνατὸς			δυνατός	G14150	NS	,,,NMS,
1	9	ᾖ		,	εἰμί	G15100	V	SPA3,,S,
1	9	καὶ			καί	G25320	DO	,,,,,,,
1	9	παρακαλεῖν			παρακαλέω	G38700	V	NPA,,,,,
1	9	ἐν			ἐν	G17220	P	,,,,D,,,
1	9	τῇ			ὁ	G35880	EA	,,,DFS,
1	9	διδασκαλίᾳ			διδασκαλία	G13190	N	,,,,DFS,
1	9	τῇ			ὁ	G35880	EA	,,,DFS,
1	9	ὑγιαινούσῃ		,	ὑγιαίνω	G51980	V	PPA,DFS,
1	9	καὶ			καί	G25320	CO	,,,,,,,
1	9	τοὺς			ὁ	G35880	EA	,,,AMP,
1	9	ἀντιλέγοντας			ἀντιλέγω	G04830	V	PPA,AMP,
