C	V	Word	OrigRows
1	1	James	1
1	1	a	7
1	1	servant	7
1	1	of	2
1	1	God	2
1	1	and	3
1	1	of	4
1	1	the	4
1	1	Lord	4
1	1	Jesus	5
1	1	Christ	6
1	1	to	8;10
1	1	the	8;10
1	1	twelve	9
1	1	tribes	8;10
1	1	that	11
1	1	are	11
1	1	in	12
1	1	the	13
1	1	dispersion	14
1	1	Rejoice	15
1	2	Consider	18
1	2	it	18
1	2	all	16
1	2	joy	17
1	2	my	20
1	2	brothers	19
1	2	when	21
1	2	you	23
1	2	fall	23
1	2	into	23
1	2	various	24
1	2	trials	22
1	3	knowing	25
1	3	that	26
1	3	the	27
1	3	testing	28
1	3	of	30;31
1	3	your	29
1	3	faith	30;31
1	3	produces	32
1	3	endurance	33
1	4	But	35
1	4	let	39
1	4	the	34
1	4	endurance	36
1	4	have	39
1	4	a	37
1	4	perfect	38
1	4	work	37
1	4	so	40
1	4	that	40
1	4	you	41
1	4	may	41
1	4	be	41
1	4	perfect	42
1	4	and	43
1	4	whole	44
1	4	lacking	47
1	4	in	45
1	4	nothing	46
1	5	Now	49
1	5	if	48
1	5	any	50
1	5	of	51
1	5	you	51
1	5	lacks	52
1	5	wisdom	53
1	5	let	54
1	5	him	54
1	5	ask	54
1	5	from	55
1	5	God	58
1	5	the	56
1	5	one	56
1	5	giving	57
1	5	to	59
1	5	all	59
1	5	generously	60
1	5	and	61
1	5	not	62
1	5	reproaching	63
1	5	and	64
1	5	it	65
1	5	will	65
1	5	be	65
1	5	given	65
1	5	to	66
1	5	him	66
1	6	But	68
1	6	let	67
1	6	him	67
1	6	ask	67
1	6	in	69
1	6	faith	70
1	6	doubting	72
1	6	nothing	71
1	6	for	74
1	6	the	73
1	6	one	73
1	6	doubting	75
1	6	has	76
1	6	become	76
1	6	like	76
1	6	a	77
1	6	wave	77
1	6	of	78
1	6	the	78
1	6	sea	78
1	6	wind	79
1	6	blown	79
1	6	and	80
1	6	tossed	81
1	7	For	83
1	7	let	84
1	7	that	87
1	7	man	85;86
1	7	not	82
1	7	think	84
1	7	that	88
1	7	he	89
1	7	will	89
1	7	receive	89
1	7	anything	90
1	7	from	91
1	7	the	92
1	7	Lord	93
1	8	a	94
1	8	double	95
1	8	minded	95
1	8	man	94
1	8	unsettled	96
1	8	in	97
1	8	all	98
1	8	his	101
1	8	ways	99;100
1	9	Now	103
1	9	let	102
1	9	the	104
1	9	lowly	106;107
1	9	brother	105
1	9	boast	102
1	9	in	108
1	9	his	111
1	9	exaltation	109;110
1	10	but	113
1	10	the	112
1	10	rich	114
1	10	in	115
1	10	his	118
1	10	lowliness	116;117
1	10	because	119
1	10	he	123
1	10	will	123
1	10	pass	123
1	10	away	123
1	10	like	120
1	10	a	121
1	10	flower	121
1	10	of	122
1	10	the	122
1	10	grass	122
1	11	For	125
1	11	the	126
1	11	sun	127
1	11	rose	124
1	11	with	128
1	11	the	129
1	11	heat	130
1	11	and	131
1	11	dried	132
1	11	up	132
1	11	the	133
1	11	grass	134
1	11	and	135
1	11	its	138
1	11	flower	136;137
1	11	fell	139
1	11	off	139
1	11	and	140
1	11	the	141
1	11	beauty	142
