C	V	Word	OrigRows
1	1	Simon	1
1	1	Peter	2
1	1	a	3
1	1	servant	3
1	1	and	4
1	1	an	5
1	1	apostle	5
1	1	of	6
1	1	Jesus	6
1	1	Christ	7
1	1	to	9
1	1	the	8
1	1	ones	8
1	1	having	11
1	1	received	11
1	1	a	12
1	1	faith	12
1	1	equal	9
1	1	in	9
1	1	value	9
1	1	with	10
1	1	us	10
1	1	by	13
1	1	the	14
1	1	righteousness	14
1	1	of	15;16
1	1	our	17
1	1	God	15;16
1	1	and	18
1	1	Savior	19
1	1	Jesus	20
1	1	Christ	21
1	2	May	26
1	2	grace	22
1	2	and	24
1	2	peace	25
1	2	be	26
1	2	multiplied	26
1	2	to	23
1	2	you	23
1	2	in	27
1	2	the	28
1	2	knowledge	28
1	2	of	29;30
1	2	God	29;30
1	2	and	31
1	2	of	32
1	2	Jesus	32
1	2	our	35
1	2	Lord	33;34
1	3	As	36
1	3	his	42
1	3	divine	40
1	3	power	39;41
1	3	has	48
1	3	given	48
1	3	to	38
1	3	us	38
1	3	all	37
1	3	the	43
1	3	things	43
1	3	for	44
1	3	life	45
1	3	and	46
1	3	godliness	47
1	3	through	49
1	3	the	50
1	3	knowledge	51
1	3	of	52
1	3	the	52
1	3	one	52
1	3	having	53
1	3	called	53
1	3	us	54
1	3	through	55
1	3	his	56
1	3	glory	56
1	3	and	57
1	3	excellence	58
1	4	through	59
1	4	which	60
1	4	he	67
1	4	has	67
1	4	given	67
1	4	to	65
1	4	us	65
1	4	the	61
1	4	precious	62
1	4	and	63
1	4	great	64
1	4	promises	66
1	4	so	68
1	4	that	68
1	4	through	69
1	4	them	70
1	4	you	71
1	4	might	71
1	4	be	71
1	4	sharers	73
1	4	of	74
1	4	the	74
1	4	divine	72
1	4	nature	74
1	4	having	75
1	4	escaped	75
1	4	the	76
1	4	corruption	82
1	4	in	77
1	4	the	78
1	4	world	79
1	4	by	80
1	4	lust	81
1	5	and	83
1	5	now	86
1	5	for	85
1	5	this	85
1	5	same	84
1	5	reason	85
1	5	applying	89
1	5	all	88
1	5	diligence	87
1	5	supply	90
1	5	in	91
1	5	your	94
1	5	faith	92;93
1	5	goodness	95;96
1	5	and	98
1	5	in	97
1	5	goodness	99;100
1	5	knowledge	101;102
1	6	and	104
1	6	in	103
1	6	knowledge	105;106
1	6	self	107;108
1	6	control	107;108
1	6	and	110
1	6	in	109
1	6	self	111;112
1	6	control	111;112
1	6	endurance	113;114
1	6	and	116
1	6	in	115
1	6	endurance	117;118
1	6	godliness	119;120
1	7	and	122
1	7	in	121
1	7	godliness	123;124
1	7	brotherly	125;126
1	7	affection	125;126
1	7	and	128
1	7	in	127
1	7	brotherly	129;130
1	7	affection	129;130
1	7	love	131;132
1	8	For	134
1	8	these	133
1	8	things	133
1	8	existing	136
1	8	and	137
1	8	increasing	138
1	8	in	135
1	8	you	135
1	8	cause	143
1	8	you	143
1	8	to	143
1	8	be	143
1	8	neither	139
1	8	barren	140
1	8	nor	141
1	8	unfruitful	142
1	8	in	144
1	8	the	145
1	8	knowledge	151
1	8	of	146;147
1	8	our	148
1	8	Lord	146;147
1	8	Jesus	149
1	8	Christ	150
1	9	For	153
1	9	he	158
1	9	in	152
1	9	whom	152
1	9	these	156
1	9	things	156
1	9	are	155
1	9	not	154
1	9	present	155
1	9	is	158
1	9	blind	157
1	9	nearsighted	159
1	9	having	161
1	9	received	161
1	9	forgetfulness	160
1	9	of	162;163
1	9	the	162;163
1	9	cleansing	162;163
1	9	of	164;167
1	9	his	166
1	9	past	165
1	9	sins	164;167
1	10	Therefore	168
1	10	brothers	170
1	10	be	171
1	10	even	169
1	10	more	169
1	10	diligent	171
1	10	to	178
1	10	make	178
1	10	your	173
1	10	calling	174;175
1	10	and	176
1	10	election	177
1	10	sure	172
1	10	for	180
1	10	doing	181
1	10	these	179
1	10	things	179
1	10	you	184
1	10	will	184
1	10	certainly	182;183
1	10	not	182;183
1	10	ever	185
1	10	stumble	184
1	11	For	187
1	11	in	186
1	11	this	186
1	11	way	186
1	11	will	189
1	11	be	189
1	11	richly	188
1	11	provided	189
1	11	to	190
1	11	you	190
1	11	the	191
1	11	entrance	192
1	11	into	193
1	11	the	194
1	11	eternal	195
1	11	kingdom	196
1	11	of	197;198
1	11	our	199
1	11	Lord	197;198
1	11	and	200
1	11	Savior	201
1	11	Jesus	202
1	11	Christ	203
1	12	Therefore	204
1	12	I	205
1	12	will	205
1	12	always	206
1	12	remind	208
1	12	you	207
1	12	about	209
1	12	these	210
1	12	things	210
1	12	although	211
