C	V	Word	OrigRows
1	1	Paul	1
1	1	a	2
1	1	prisoner	2
1	1	of	3
1	1	Christ	3
1	1	Jesus	4
1	1	and	5
1	1	our	7
1	1	brother	8
1	1	Timothy	6
1	1	to	9
1	1	Philemon	9
1	1	the	10
1	1	beloved	11
1	1	and	12
1	1	our	14
1	1	fellow	13
1	1	worker	13
1	2	and	15
1	2	to	16
1	2	Apphia	16
1	2	our	17
1	2	sister	18
1	2	and	19
1	2	to	20
1	2	Archippus	20
1	2	our	23
1	2	fellow	21;22
1	2	soldier	21;22
1	2	and	24
1	2	to	25;29
1	2	the	25;29
1	2	church	25;29
1	2	in	26
1	2	your	28
1	2	house	27
1	3	Grace	30
1	3	to	31
1	3	you	31
1	3	and	32
1	3	peace	33
1	3	from	34
1	3	God	35
1	3	our	37
1	3	Father	36
1	3	and	38
1	3	our	40
1	3	Lord	39
1	3	Jesus	41
1	3	Christ	42
1	4	I	43
1	4	always	47
1	4	thank	43
1	4	my	46
1	4	God	44;45
1	4	making	50
1	4	mention	48
1	4	of	49
1	4	you	49
1	4	in	51
1	4	my	54
1	4	prayers	52;53
1	5	hearing	55
1	5	of	55
1	5	your	56
1	5	love	57;58
1	5	and	59
1	5	the	60
1	5	faith	61
1	5	that	62
1	5	you	63
1	5	have	63
1	5	in	64
1	5	the	65
1	5	Lord	66
1	5	Jesus	67
1	5	and	68
1	5	for	69
1	5	all	70
1	5	the	71
1	5	saints	72
1	6	that	73
1	6	the	74
1	6	fellowship	75
1	6	of	76;77
1	6	your	78
1	6	faith	76;77
1	6	may	80
1	6	become	80
1	6	effective	79
1	6	through	81
1	6	the	82
1	6	knowledge	82
1	6	of	83
1	6	everything	83
1	6	good	84
1	6	that	85
1	6	is	85
1	6	among	86
1	6	us	87
1	6	for	88
1	6	Christ	89
1	7	For	91
1	7	I	93
1	7	had	93
1	7	much	92
1	7	joy	90
1	7	and	94
1	7	comfort	95
1	7	because	96
1	7	of	96
1	7	your	99
1	7	love	97;98
1	7	because	100
1	7	the	101
1	7	inner	102
1	7	parts	102
1	7	of	103;104
1	7	the	103;104
1	7	saints	103;104
1	7	are	105
1	7	being	105
1	7	refreshed	105
1	7	by	106
1	7	you	107
1	7	brother	108
1	8	Therefore	109
1	8	having	114
1	8	much	110
1	8	boldness	113
1	8	in	111
1	8	Christ	112
1	8	to	115
1	8	command	115
1	8	you	116
1	8	the	117
1	8	thing	117
1	8	that	117
1	8	is	118
1	8	proper	118
1	8	to	118
1	8	do	118
1	9	because	119
1	9	of	119
1	9	love	120;121
1	9	I	123
1	9	appeal	123
1	9	to	123
1	9	you	123
1	9	instead	122
1	9	being	125
1	9	such	124
1	9	a	124
1	9	one	124
1	9	as	126
1	9	Paul	127
1	9	an	128
1	9	elder	128
1	9	and	130
1	9	now	129
1	9	also	131
1	9	a	132
1	9	prisoner	132
1	9	of	133
1	9	Christ	133
1	9	Jesus	134
1	10	I	135
1	10	am	135
1	10	appealing	135
1	10	to	135
1	10	you	136
1	10	on	137
1	10	behalf	137
1	10	of	137
1	10	my	139
1	10	child	138;140
1	10	Onesimus	146
1	10	whom	141
1	10	I	142
1	10	have	142
1	10	fathered	142
1	10	in	143
1	10	my	144
1	10	chains	145
1	11	The	147
1	11	one	147
1	11	formerly	148
1	11	useless	150
1	11	to	149
1	11	you	149
1	11	but	152
1	11	now	151
1	11	useful	157
1	11	both	153
1	11	to	154
1	11	you	154
1	11	and	155
1	11	to	156
1	11	me	156
1	12	whom	158
1	12	I	159
1	12	have	159
1	12	sent	159
1	12	back	159
1	12	to	160
1	12	you	160
1	12	him	161
1	12	this	162
1	12	one	162
1	12	is	163
1	12	my	165
1	12	inner	164;166
1	12	parts	164;166
1	13	whom	167
1	13	I	168
1	13	desired	169
1	13	to	172
1	13	keep	172
1	13	with	170
1	13	me	171
1	13	so	173
1	13	that	173
1	13	he	177
1	13	might	177
1	13	serve	177
1	13	me	176
1	13	on	174
1	13	behalf	174
1	13	of	174
1	13	you	175
1	13	in	178
1	13	the	179
1	13	chains	180
1	13	of	181;182
1	13	the	181;182
1	13	gospel	181;182
1	14	But	184
1	14	I	189
1	14	did	189
1	14	not	188
1	14	want	189
1	14	to	190
1	14	do	190
1	14	anything	188
1	14	without	183
1	14	your	186
1	14	consent	185;187
1	14	so	191
1	14	that	191
1	14	your	198
1	14	good	196;197
1	14	deed	196;197
1	14	might	199
1	14	not	192
1	14	be	199
1	14	as	193
1	14	according	194
1	14	to	194
1	14	compulsion	195
1	14	but	200
1	14	according	201
1	14	to	201
1	14	good	202
1	14	will	202
1	15	For	204
1	15	perhaps	203
1	15	because	205
1	15	of	205
1	15	this	206
1	15	he	207
1	15	was	207
1	15	separated	207
1	15	from	207
1	15	you	207
1	15	for	208
1	15	an	209
1	15	hour	209
1	15	so	210
1	15	that	210
1	15	you	213
1	15	might	213
1	15	have	213
1	15	him	212
1	15	back	213
1	15	forever	211
1	16	no	214
1	16	longer	214
1	16	as	215
1	16	a	216
1	16	slave	216
1	16	but	217
1	16	better	218
1	16	than	218
1	16	a	219
1	16	slave	219
1	16	a	220
1	16	beloved	221
1	16	brother	220
1	16	especially	222
1	16	to	223
1	16	me	223
1	16	but	225
1	16	much	224
1	16	more	226
1	16	so	226
1	16	to	227
1	16	you	227
1	16	in	229
1	16	both	228
1	16	the	230
1	16	flesh	230
1	16	and	231
1	16	in	232
1	16	the	233
1	16	Lord	233
1	17	Therefore	235
1	17	if	234
1	17	you	237
1	17	have	237
1	17	me	236
1	17	as	237
1	17	a	238
1	17	partner	238
1	17	receive	239
1	17	him	240
1	17	as	241
1	17	me	242
1	18	But	244
1	18	if	243
1	18	he	246
1	18	has	246
1	18	wronged	246
1	18	you	247
1	18	or	248
1	18	owes	249
1	18	you	249
1	18	anything	245
1	18	charge	252
1	18	that	250
1	18	to	251
1	18	me	251
1	19	I	253
1	19	Paul	254
1	19	wrote	255
1	19	this	255
1	19	with	256;258
1	19	my	257
1	19	own	257
1	19	hand	256;258
1	19	I	260
1	19	myself	259
1	19	will	260
