C	V	Word	OrigRows
1	1	Paul	1
1	1	a	2
1	1	servant	2
1	1	of	3
1	1	God	3
1	1	and	5
1	1	an	4
1	1	apostle	4
1	1	of	6
1	1	Jesus	6
1	1	Christ	7
1	1	for	8
1	1	the	9
1	1	faith	9
1	1	of	10
1	1	the	10
1	1	chosen	10
1	1	people	10
1	1	of	11
1	1	God	11
1	1	and	12
1	1	knowledge	13
1	1	of	14
1	1	the	14
1	1	truth	14
1	1	that	15
1	1	agrees	16
1	1	with	16
1	1	godliness	17
1	2	with	18
1	2	the	19
1	2	certain	19
1	2	hope	19
1	2	of	20
1	2	eternal	21
1	2	life	20
1	2	that	22
1	2	God	26
1	2	who	24
1	2	does	25
1	2	not	25
1	2	lie	25
1	2	promised	23
1	2	before	27
1	2	all	29
1	2	the	29
1	2	ages	29
1	2	of	28
1	2	time	28
1	3	But	31
1	3	at	32
1	3	the	32
1	3	right	33
1	3	time	32
1	3	he	30
1	3	revealed	30
1	3	his	36
1	3	word	34;35
1	3	by	37
1	3	the	38
1	3	proclamation	38
1	3	the	39
1	3	one	39
1	3	I	41
1	3	was	40
1	3	entrusted	40
1	3	with	40
1	3	by	42
1	3	the	43
1	3	command	43
1	3	of	44;45
1	3	God	47
1	3	our	46
1	3	Savior	44;45
1	4	To	48
1	4	Titus	48
1	4	a	50
1	4	true	49
1	4	son	50
1	4	in	51
1	4	a	53
1	4	common	52
1	4	faith	53
1	4	Grace	54
1	4	and	55
1	4	peace	56
1	4	from	57
1	4	God	58
1	4	the	59
1	4	Father	59
1	4	and	60
1	4	Christ	61
1	4	Jesus	62
1	4	our	65
1	4	Savior	63;64
1	5	For	67
1	5	this	66
1	5	purpose	67
1	5	I	68
1	5	left	68
1	5	you	69
1	5	in	70
1	5	Crete	71
1	5	that	72
1	5	you	75
1	5	might	75
1	5	set	75
1	5	in	75
1	5	order	75
1	5	the	73
1	5	things	73
1	5	not	74
1	5	yet	74
1	5	being	74
1	5	complete	74
1	5	and	76
1	5	ordain	77
1	5	elders	80
1	5	in	78
1	5	every	78
1	5	city	79
1	5	as	81
1	5	I	82
1	5	directed	84
1	5	you	83
1	6	if	85
1	6	anyone	86
1	6	is	87
1	6	blameless	88
1	6	a	91
1	6	husband	91
1	6	of	90
1	6	one	89
1	6	wife	90
1	6	having	93
1	6	faithful	94
1	6	children	92
1	6	not	95
1	6	accused	96;97
1	6	of	98
1	6	reckless	98
1	6	behavior	98
1	6	or	99
1	6	rebellion	100
1	7	For	102
1	7	the	103
1	7	overseer	104
1	7	must	101
1	7	be	106
1	7	blameless	105
1	7	as	107
1	7	a	109
1	7	household	109
1	7	manager	109
1	7	of	108
1	7	God	108
1	7	not	110
1	7	arrogant	111
1	7	not	112
1	7	easily	113
1	7	angered	113
1	7	not	114
1	7	addicted	115
1	7	to	115
1	7	wine	115
1	7	not	116
1	7	a	117
1	7	brawler	117
1	7	and	118
1	7	not	118
1	7	a	119
1	7	greedy	119
1	7	man	119
1	8	Instead	120
1	8	he	121
1	8	must	121
1	8	be	121
1	8	hospitable	121
1	8	a	122
1	8	friend	122
1	8	of	122
1	8	what	122
1	8	is	122
1	8	good	122
1	8	sensible	123
1	8	righteous	124
1	8	holy	125
1	8	and	126
1	8	self	126
1	8	controlled	126
1	9	He	127
1	9	must	127
1	9	hold	127
1	9	tightly	127
1	9	to	127
1	9	the	128
1	9	trustworthy	132
1	9	message	133
1	9	that	129
1	9	is	129
1	9	in	129
1	9	accordance	129
1	9	with	129
1	9	the	130
1	9	teaching	131
1	9	so	134
1	9	that	134
1	9	he	136
1	9	may	136
1	9	be	136
1	9	able	135
1	9	both	137
1	9	to	138
1	9	encourage	138
1	9	others	138
1	9	with	139
1	9	sound	142;143
1	9	teaching	140;141
1	9	and	144
1	9	rebuke	147
1	9	the	145
1	9	ones	145
1	9	opposing	146
1	9	him	146
1	10	For	149
1	10	there	148
1	10	are	148
1	10	many	150
1	10	people	150
1	10	both	151
1	10	rebellious	152
1	10	empty	153
1	10	talkers	153
1	10	and	154
1	10	deceivers	155
1	10	especially	156
1	10	the	157
1	10	ones	157
1	10	from	158
1	10	the	159
1	10	circumcision	160
1	11	It	162
1	11	is	162
1	11	necessary	162
1	11	to	163
1	11	stop	163
1	11	them	161
1	11	They	164
1	11	are	167
1	11	upsetting	167
1	11	whole	165
1	11	households	166
1	11	teaching	168
1	11	what	169
1	11	they	171
1	11	should	171
1	11	not	170
1	11	for	174
1	11	the	174
1	11	sake	174
1	11	of	174
1	11	shameful	172
1	11	profit	173
1	12	One	176
1	12	of	177
1	12	them	178
1	12	of	181
1	12	their	180
1	12	own	179
1	12	prophets	181
1	12	has	175
1	12	said	175
1	12	Cretans	182
1	12	are	184
1	12	always	183
1	12	liars	184
1	12	evil	185
1	12	beasts	186
1	12	lazy	188
1	12	bellies	187
1	13	This	191
1	13	testimony	189;190
1	13	is	192
1	13	true	193
1	13	For	194
1	13	this	195
1	13	reason	196
1	13	rebuke	197
1	13	them	198
1	13	severely	199
1	13	so	200
1	13	that	200
1	13	they	201
1	13	may	201
1	13	be	201
1	13	sound	201
1	13	in	202
1	13	the	203
1	13	faith	204
1	14	not	205
1	14	paying	206
1	14	any	206
1	14	attention	206
1	14	to	208
1	14	Jewish	207
1	14	myths	208
1	14	or	209
1	14	to	210
1	14	commands	210
1	14	of	211
1	14	people	211
1	14	turning	212
1	14	away	212
1	14	from	212
1	14	the	213
1	14	truth	214
1	15	All	215
1	15	things	215
1	15	are	216
1	15	pure	216
1	15	to	217
1	15	the	217
1	15	ones	217
1	15	who	217
1	15	are	217
1	15	pure	218
1	15	But	220
1	15	to	219
1	15	the	219
1	15	ones	219
1	15	having	221
1	15	been	221
1	15	corrupted	221
1	15	and	222
1	15	unbelieving	223
1	15	nothing	224
1	15	is	225
1	15	pure	225
1	15	but	226
1	15	both	229
1	15	their	228
1	15	minds	230;231
1	15	and	232
1	15	consciences	233;234
1	15	have	227
1	15	been	227
1	15	corrupted	227
1	16	They	236
1	16	profess	236
1	16	to	237
1	16	know	237
